"Statistic Label","CensusYear","Sex","Single Year of Age","County and City","UNIT","VALUE"
"Population","2016","Both sexes","53 years","Louth","Number","1583"
"Population","2016","Both sexes","53 years","Limerick City and County","Number","2363"
"Population","2016","Both sexes","53 years","Leitrim","Number","400"
"Population","2016","Both sexes","53 years","Laois","Number","977"
"Population","2016","Both sexes","53 years","Meath","Number","2365"
"Population","2016","Both sexes","53 years","Monaghan","Number","765"
"Population","2016","Both sexes","53 years","Mayo","Number","1700"
"Population","2016","Both sexes","53 years","Offaly","Number","974"
"Population","2016","Both sexes","53 years","Roscommon","Number","881"
"Population","2016","Both sexes","53 years","South Dublin","Number","3117"
"Population","2016","Both sexes","53 years","Sligo","Number","873"
"Population","2016","Both sexes","53 years","Tipperary","Number","2171"
"Population","2016","Both sexes","53 years","Waterford City and County","Number","1633"
"Population","2016","Both sexes","53 years","Westmeath","Number","1153"
"Population","2016","Both sexes","53 years","Wicklow","Number","1932"
"Population","2016","Both sexes","53 years","Wexford","Number","1959"
"Population","2016","Both sexes","54 years","State","Number","57059"
"Population","2016","Both sexes","54 years","Cork City and Cork County","Number","6606"
"Population","2016","Both sexes","54 years","Clare","Number","1461"
"Population","2016","Both sexes","54 years","Cavan","Number","934"
"Population","2016","Both sexes","54 years","Carlow","Number","666"
"Population","2016","Both sexes","54 years","Dublin City","Number","6118"
"Population","2016","Both sexes","54 years","Donegal","Number","1973"
"Population","2016","Both sexes","54 years","Dún Laoghaire-Rathdown","Number","2823"
"Population","2016","Both sexes","54 years","Fingal","Number","3135"
"Population","2016","Both sexes","54 years","Galway City","Number","739"
"Population","2016","Both sexes","54 years","Galway County","Number","2241"
"Population","2016","Both sexes","54 years","Kildare","Number","2552"
"Population","2016","Both sexes","54 years","Kilkenny","Number","1246"
"Population","2016","Both sexes","54 years","Kerry","Number","1944"
"Population","2016","Both sexes","54 years","Longford","Number","503"
"Population","2016","Both sexes","54 years","Louth","Number","1475"
"Population","2016","Both sexes","54 years","Limerick City and County","Number","2412"
"Population","2016","Both sexes","54 years","Leitrim","Number","386"
"Population","2016","Both sexes","54 years","Laois","Number","964"
"Population","2016","Both sexes","54 years","Meath","Number","2233"
"Population","2016","Both sexes","54 years","Monaghan","Number","751"
"Population","2016","Both sexes","54 years","Mayo","Number","1708"
"Population","2016","Both sexes","54 years","Offaly","Number","1009"
"Population","2016","Both sexes","54 years","Roscommon","Number","846"
"Population","2016","Both sexes","54 years","South Dublin","Number","3050"
"Population","2016","Both sexes","54 years","Sligo","Number","848"
"Population","2016","Both sexes","54 years","Tipperary","Number","2024"
"Population","2016","Both sexes","54 years","Waterford City and County","Number","1514"
"Population","2016","Both sexes","54 years","Westmeath","Number","1088"
"Population","2016","Both sexes","54 years","Wicklow","Number","1907"
"Population","2016","Both sexes","54 years","Wexford","Number","1903"
"Population","2016","Both sexes","55 years","State","Number","57256"
"Population","2016","Both sexes","55 years","Cork City and Cork County","Number","6577"
"Population","2016","Both sexes","55 years","Clare","Number","1564"
"Population","2016","Both sexes","55 years","Cavan","Number","901"
"Population","2016","Both sexes","55 years","Carlow","Number","706"
"Population","2016","Both sexes","55 years","Dublin City","Number","6110"
"Population","2016","Both sexes","55 years","Donegal","Number","1938"
"Population","2016","Both sexes","55 years","Dún Laoghaire-Rathdown","Number","2648"
"Population","2016","Both sexes","55 years","Fingal","Number","3074"
"Population","2016","Both sexes","55 years","Galway City","Number","784"
"Population","2016","Both sexes","55 years","Galway County","Number","2324"
"Population","2016","Both sexes","55 years","Kildare","Number","2575"
"Population","2016","Both sexes","55 years","Kilkenny","Number","1291"
"Population","2016","Both sexes","55 years","Kerry","Number","1971"
"Population","2016","Both sexes","55 years","Longford","Number","513"
"Population","2016","Both sexes","55 years","Louth","Number","1537"
"Population","2016","Both sexes","55 years","Limerick City and County","Number","2256"
"Population","2016","Both sexes","55 years","Leitrim","Number","426"
"Population","2016","Both sexes","55 years","Laois","Number","1002"
"Population","2016","Both sexes","55 years","Meath","Number","2226"
"Population","2016","Both sexes","55 years","Monaghan","Number","754"
"Population","2016","Both sexes","55 years","Mayo","Number","1763"
"Population","2016","Both sexes","55 years","Offaly","Number","1023"
"Population","2016","Both sexes","55 years","Roscommon","Number","884"
"Population","2016","Both sexes","55 years","South Dublin","Number","3126"
"Population","2016","Both sexes","55 years","Sligo","Number","874"
"Population","2016","Both sexes","55 years","Tipperary","Number","2132"
"Population","2016","Both sexes","55 years","Waterford City and County","Number","1437"
"Population","2016","Both sexes","55 years","Westmeath","Number","1063"
"Population","2016","Both sexes","55 years","Wicklow","Number","1797"
"Population","2016","Both sexes","55 years","Wexford","Number","1980"
"Population","2016","Both sexes","56 years","State","Number","54907"
"Population","2016","Both sexes","56 years","Cork City and Cork County","Number","6254"
"Population","2016","Both sexes","56 years","Clare","Number","1468"
"Population","2016","Both sexes","56 years","Cavan","Number","943"
"Population","2016","Both sexes","56 years","Carlow","Number","684"
"Population","2016","Both sexes","56 years","Dublin City","Number","5838"
"Population","2016","Both sexes","56 years","Donegal","Number","1897"
"Population","2016","Both sexes","56 years","Dún Laoghaire-Rathdown","Number","2563"
"Population","2016","Both sexes","56 years","Fingal","Number","3057"
"Population","2016","Both sexes","56 years","Galway City","Number","735"
"Population","2016","Both sexes","56 years","Galway County","Number","2171"
"Population","2016","Both sexes","56 years","Kildare","Number","2284"
"Population","2016","Both sexes","56 years","Kilkenny","Number","1253"
"Population","2016","Both sexes","56 years","Kerry","Number","1952"
"Population","2016","Both sexes","56 years","Longford","Number","480"
"Population","2016","Both sexes","56 years","Louth","Number","1432"
"Population","2016","Both sexes","56 years","Limerick City and County","Number","2328"
"Population","2016","Both sexes","56 years","Leitrim","Number","420"
"Population","2016","Both sexes","56 years","Laois","Number","892"
"Population","2016","Both sexes","56 years","Meath","Number","2107"
"Population","2016","Both sexes","56 years","Monaghan","Number","752"
"Population","2016","Both sexes","56 years","Mayo","Number","1796"
"Population","2016","Both sexes","56 years","Offaly","Number","944"
"Population","2016","Both sexes","56 years","Roscommon","Number","799"
"Population","2016","Both sexes","56 years","South Dublin","Number","3002"
"Population","2016","Both sexes","56 years","Sligo","Number","931"
"Population","2016","Both sexes","56 years","Tipperary","Number","1973"
"Population","2016","Both sexes","56 years","Waterford City and County","Number","1433"
"Population","2016","Both sexes","56 years","Westmeath","Number","1034"
"Population","2016","Both sexes","56 years","Wicklow","Number","1672"
"Population","2016","Both sexes","56 years","Wexford","Number","1813"
"Population","2016","Both sexes","57 years","State","Number","54459"
"Population","2016","Both sexes","57 years","Cork City and Cork County","Number","6210"
"Population","2016","Both sexes","57 years","Clare","Number","1571"
"Population","2016","Both sexes","57 years","Cavan","Number","870"
"Population","2016","Both sexes","57 years","Carlow","Number","625"
"Population","2016","Both sexes","57 years","Dublin City","Number","6132"
"Population","2016","Both sexes","57 years","Donegal","Number","1960"
"Population","2016","Both sexes","57 years","Dún Laoghaire-Rathdown","Number","2532"
"Population","2016","Both sexes","57 years","Fingal","Number","2901"
"Population","2016","Both sexes","57 years","Galway City","Number","761"
"Population","2016","Both sexes","57 years","Galway County","Number","2178"
"Population","2016","Both sexes","57 years","Kildare","Number","2323"
"Population","2016","Both sexes","57 years","Kilkenny","Number","1217"
"Population","2016","Both sexes","57 years","Kerry","Number","1974"
"Population","2016","Both sexes","57 years","Longford","Number","451"
"Population","2016","Both sexes","57 years","Louth","Number","1347"
"Population","2016","Both sexes","57 years","Limerick City and County","Number","2278"
"Population","2016","Both sexes","57 years","Leitrim","Number","451"
"Population","2016","Both sexes","57 years","Laois","Number","944"
"Population","2016","Both sexes","57 years","Meath","Number","1997"
"Population","2016","Both sexes","57 years","Monaghan","Number","720"
"Population","2016","Both sexes","57 years","Mayo","Number","1767"
"Population","2016","Both sexes","57 years","Offaly","Number","919"
"Population","2016","Both sexes","57 years","Roscommon","Number","849"
"Population","2016","Both sexes","57 years","South Dublin","Number","2990"
"Population","2016","Both sexes","57 years","Sligo","Number","796"
"Population","2016","Both sexes","57 years","Tipperary","Number","1875"
"Population","2016","Both sexes","57 years","Waterford City and County","Number","1357"
"Population","2016","Both sexes","57 years","Westmeath","Number","1002"
"Population","2016","Both sexes","57 years","Wicklow","Number","1682"
"Population","2016","Both sexes","57 years","Wexford","Number","1780"
"Population","2016","Both sexes","58 years","State","Number","52428"
"Population","2016","Both sexes","58 years","Cork City and Cork County","Number","6051"
"Population","2016","Both sexes","58 years","Clare","Number","1429"
"Population","2016","Both sexes","58 years","Cavan","Number","884"
"Population","2016","Both sexes","58 years","Carlow","Number","611"
"Population","2016","Both sexes","58 years","Dublin City","Number","5441"
"Population","2016","Both sexes","58 years","Donegal","Number","1792"
"Population","2016","Both sexes","58 years","Dún Laoghaire-Rathdown","Number","2443"
"Population","2016","Both sexes","58 years","Fingal","Number","2661"
"Population","2016","Both sexes","58 years","Galway City","Number","736"
"Population","2016","Both sexes","58 years","Galway County","Number","2157"
"Population","2016","Both sexes","58 years","Kildare","Number","2229"
"Population","2016","Both sexes","58 years","Kilkenny","Number","1175"
"Population","2016","Both sexes","58 years","Kerry","Number","1995"
"Population","2016","Both sexes","58 years","Longford","Number","463"
"Population","2016","Both sexes","58 years","Louth","Number","1329"
"Population","2016","Both sexes","58 years","Limerick City and County","Number","2279"
"Population","2016","Both sexes","58 years","Leitrim","Number","394"
"Population","2016","Both sexes","58 years","Laois","Number","924"
"Population","2016","Both sexes","58 years","Meath","Number","1917"
"Population","2016","Both sexes","58 years","Monaghan","Number","689"
"Population","2016","Both sexes","58 years","Mayo","Number","1790"
"Population","2016","Both sexes","58 years","Offaly","Number","837"
"Population","2016","Both sexes","58 years","Roscommon","Number","881"
"Population","2016","Both sexes","58 years","South Dublin","Number","2915"
"Population","2016","Both sexes","58 years","Sligo","Number","824"
"Population","2016","Both sexes","58 years","Tipperary","Number","1971"
"Population","2016","Both sexes","58 years","Waterford City and County","Number","1309"
"Population","2016","Both sexes","58 years","Westmeath","Number","1003"
"Population","2016","Both sexes","58 years","Wicklow","Number","1569"
"Population","2016","Both sexes","58 years","Wexford","Number","1730"
"Population","2016","Both sexes","59 years","State","Number","51052"
"Population","2016","Both sexes","59 years","Cork City and Cork County","Number","5844"
"Population","2016","Both sexes","59 years","Clare","Number","1375"
"Population","2016","Both sexes","59 years","Cavan","Number","870"
"Population","2016","Both sexes","59 years","Carlow","Number","620"
"Population","2016","Both sexes","59 years","Dublin City","Number","5271"
"Population","2016","Both sexes","59 years","Donegal","Number","1797"
"Population","2016","Both sexes","59 years","Dún Laoghaire-Rathdown","Number","2372"
"Population","2016","Both sexes","59 years","Fingal","Number","2628"
"Population","2016","Both sexes","59 years","Galway City","Number","745"
"Population","2016","Both sexes","59 years","Galway County","Number","2048"
"Population","2016","Both sexes","59 years","Kildare","Number","2200"
"Population","2016","Both sexes","59 years","Kilkenny","Number","1091"
"Population","2016","Both sexes","59 years","Kerry","Number","1895"
"Population","2016","Both sexes","59 years","Longford","Number","476"
"Population","2016","Both sexes","59 years","Louth","Number","1335"
"Population","2016","Both sexes","59 years","Limerick City and County","Number","2228"
"Population","2016","Both sexes","59 years","Leitrim","Number","419"
"Population","2016","Both sexes","59 years","Laois","Number","862"
"Population","2016","Both sexes","59 years","Meath","Number","1877"
"Population","2016","Both sexes","59 years","Monaghan","Number","710"
"Population","2016","Both sexes","59 years","Mayo","Number","1660"
"Population","2016","Both sexes","59 years","Offaly","Number","848"
"Population","2016","Both sexes","59 years","Roscommon","Number","806"
"Population","2016","Both sexes","59 years","South Dublin","Number","2786"
"Population","2016","Both sexes","59 years","Sligo","Number","843"
"Population","2016","Both sexes","59 years","Tipperary","Number","1891"
"Population","2016","Both sexes","59 years","Waterford City and County","Number","1328"
"Population","2016","Both sexes","59 years","Westmeath","Number","975"
"Population","2016","Both sexes","59 years","Wicklow","Number","1553"
"Population","2016","Both sexes","59 years","Wexford","Number","1699"
"Population","2016","Both sexes","60 years","State","Number","49865"
"Population","2016","Both sexes","60 years","Cork City and Cork County","Number","5703"
"Population","2016","Both sexes","60 years","Clare","Number","1341"
"Population","2016","Both sexes","60 years","Cavan","Number","838"
"Population","2016","Both sexes","60 years","Carlow","Number","587"
"Population","2016","Both sexes","60 years","Dublin City","Number","5183"
"Population","2016","Both sexes","60 years","Donegal","Number","1726"
"Population","2016","Both sexes","60 years","Dún Laoghaire-Rathdown","Number","2372"
"Population","2016","Both sexes","60 years","Fingal","Number","2487"
"Population","2016","Both sexes","60 years","Galway City","Number","712"
"Population","2016","Both sexes","60 years","Galway County","Number","2091"
"Population","2016","Both sexes","60 years","Kildare","Number","2065"
"Population","2016","Both sexes","60 years","Kilkenny","Number","1108"
"Population","2016","Both sexes","60 years","Kerry","Number","1896"
"Population","2016","Both sexes","60 years","Longford","Number","424"
"Population","2016","Both sexes","60 years","Louth","Number","1268"
"Population","2016","Both sexes","60 years","Limerick City and County","Number","2098"
"Population","2016","Both sexes","60 years","Leitrim","Number","425"
"Population","2016","Both sexes","60 years","Laois","Number","868"
"Population","2016","Both sexes","60 years","Meath","Number","1824"
"Population","2016","Both sexes","60 years","Monaghan","Number","638"
"Population","2016","Both sexes","60 years","Mayo","Number","1740"
"Population","2016","Both sexes","60 years","Offaly","Number","850"
"Population","2016","Both sexes","60 years","Roscommon","Number","825"
"Population","2016","Both sexes","60 years","South Dublin","Number","2827"
"Population","2016","Both sexes","60 years","Sligo","Number","776"
"Population","2016","Both sexes","60 years","Tipperary","Number","1860"
"Population","2016","Both sexes","60 years","Waterford City and County","Number","1263"
"Population","2016","Both sexes","60 years","Westmeath","Number","920"
"Population","2016","Both sexes","60 years","Wicklow","Number","1508"
"Population","2016","Both sexes","60 years","Wexford","Number","1642"
"Population","2016","Both sexes","61 years","State","Number","49245"
"Population","2016","Both sexes","61 years","Cork City and Cork County","Number","5532"
"Population","2016","Both sexes","61 years","Clare","Number","1349"
"Population","2016","Both sexes","61 years","Cavan","Number","801"
"Population","2016","Both sexes","61 years","Carlow","Number","582"
"Population","2016","Both sexes","61 years","Dublin City","Number","4825"
"Population","2016","Both sexes","61 years","Donegal","Number","1864"
"Population","2016","Both sexes","61 years","Dún Laoghaire-Rathdown","Number","2268"
"Population","2016","Both sexes","61 years","Fingal","Number","2383"
"Population","2016","Both sexes","61 years","Galway City","Number","709"
"Population","2016","Both sexes","61 years","Galway County","Number","2064"
"Population","2016","Both sexes","61 years","Kildare","Number","2134"
"Population","2016","Both sexes","61 years","Kilkenny","Number","1082"
"Population","2016","Both sexes","61 years","Kerry","Number","1864"
"Population","2016","Both sexes","61 years","Longford","Number","440"
"Population","2016","Both sexes","61 years","Louth","Number","1294"
"Population","2016","Both sexes","61 years","Limerick City and County","Number","2144"
"Population","2016","Both sexes","61 years","Leitrim","Number","400"
"Population","2016","Both sexes","61 years","Laois","Number","791"
"Population","2016","Both sexes","61 years","Meath","Number","1883"
"Population","2016","Both sexes","61 years","Monaghan","Number","671"
"Population","2016","Both sexes","61 years","Mayo","Number","1696"
"Population","2016","Both sexes","61 years","Offaly","Number","812"
"Population","2016","Both sexes","61 years","Roscommon","Number","835"
"Population","2016","Both sexes","61 years","South Dublin","Number","2811"
"Population","2016","Both sexes","61 years","Sligo","Number","779"
"Population","2016","Both sexes","61 years","Tipperary","Number","1838"
"Population","2016","Both sexes","61 years","Waterford City and County","Number","1324"
"Population","2016","Both sexes","61 years","Westmeath","Number","941"
"Population","2016","Both sexes","61 years","Wicklow","Number","1484"
"Population","2016","Both sexes","61 years","Wexford","Number","1645"
"Population","2016","Both sexes","62 years","State","Number","47300"
"Population","2016","Both sexes","62 years","Cork City and Cork County","Number","5455"
"Population","2016","Both sexes","62 years","Clare","Number","1321"
"Population","2016","Both sexes","62 years","Cavan","Number","787"
"Population","2016","Both sexes","62 years","Carlow","Number","556"
"Population","2016","Both sexes","62 years","Dublin City","Number","4662"
"Population","2016","Both sexes","62 years","Donegal","Number","1721"
"Population","2016","Both sexes","62 years","Dún Laoghaire-Rathdown","Number","2205"
"Population","2016","Both sexes","62 years","Fingal","Number","2423"
"Population","2016","Both sexes","62 years","Galway City","Number","693"
"Population","2016","Both sexes","62 years","Galway County","Number","1923"
"Population","2016","Both sexes","62 years","Kildare","Number","1934"
"Population","2016","Both sexes","62 years","Kilkenny","Number","1097"
"Population","2016","Both sexes","62 years","Kerry","Number","1792"
"Population","2016","Both sexes","62 years","Longford","Number","454"
"Population","2016","Both sexes","62 years","Louth","Number","1202"
"Population","2016","Both sexes","62 years","Limerick City and County","Number","2013"
"Population","2016","Both sexes","62 years","Leitrim","Number","422"
"Population","2016","Both sexes","62 years","Laois","Number","769"
"Population","2016","Both sexes","62 years","Meath","Number","1710"
"Population","2016","Both sexes","62 years","Monaghan","Number","652"
"Population","2016","Both sexes","62 years","Mayo","Number","1632"
"Population","2016","Both sexes","62 years","Offaly","Number","773"
"Population","2016","Both sexes","62 years","Roscommon","Number","787"
"Population","2016","Both sexes","62 years","South Dublin","Number","2623"
"Population","2016","Both sexes","62 years","Sligo","Number","768"
"Population","2016","Both sexes","62 years","Tipperary","Number","1766"
"Population","2016","Both sexes","62 years","Waterford City and County","Number","1239"
"Population","2016","Both sexes","62 years","Westmeath","Number","881"
"Population","2016","Both sexes","62 years","Wicklow","Number","1454"
"Population","2016","Both sexes","62 years","Wexford","Number","1586"
"Population","2016","Both sexes","63 years","State","Number","47402"
"Population","2016","Both sexes","63 years","Cork City and Cork County","Number","5436"
"Population","2016","Both sexes","63 years","Clare","Number","1363"
"Population","2016","Both sexes","63 years","Cavan","Number","785"
"Population","2016","Both sexes","63 years","Carlow","Number","604"
"Population","2016","Both sexes","63 years","Dublin City","Number","4601"
"Population","2016","Both sexes","63 years","Donegal","Number","1784"
"Population","2016","Both sexes","63 years","Dún Laoghaire-Rathdown","Number","2180"
"Population","2016","Both sexes","63 years","Fingal","Number","2409"
"Population","2016","Both sexes","63 years","Galway City","Number","729"
"Population","2016","Both sexes","63 years","Galway County","Number","1946"
"Population","2016","Both sexes","63 years","Kildare","Number","1923"
"Population","2016","Both sexes","63 years","Kilkenny","Number","1057"
"Population","2016","Both sexes","63 years","Kerry","Number","1841"
"Population","2016","Both sexes","63 years","Longford","Number","453"
"Population","2016","Both sexes","63 years","Louth","Number","1141"
"Population","2016","Both sexes","63 years","Limerick City and County","Number","2081"
"Population","2016","Both sexes","63 years","Leitrim","Number","396"
"Population","2016","Both sexes","63 years","Laois","Number","781"
"Population","2016","Both sexes","63 years","Meath","Number","1692"
"Population","2016","Both sexes","63 years","Monaghan","Number","635"
"Population","2016","Both sexes","63 years","Mayo","Number","1551"
"Population","2016","Both sexes","63 years","Offaly","Number","794"
"Population","2016","Both sexes","63 years","Roscommon","Number","752"
"Population","2016","Both sexes","63 years","South Dublin","Number","2790"
"Population","2016","Both sexes","63 years","Sligo","Number","795"
"Population","2016","Both sexes","63 years","Tipperary","Number","1747"
"Population","2016","Both sexes","63 years","Waterford City and County","Number","1218"
"Population","2016","Both sexes","63 years","Westmeath","Number","904"
"Population","2016","Both sexes","63 years","Wicklow","Number","1399"
"Population","2016","Both sexes","63 years","Wexford","Number","1615"
"Population","2016","Both sexes","64 years","State","Number","45044"
"Population","2016","Both sexes","64 years","Cork City and Cork County","Number","5102"
"Population","2016","Both sexes","64 years","Clare","Number","1265"
"Population","2016","Both sexes","64 years","Cavan","Number","702"
"Population","2016","Both sexes","64 years","Carlow","Number","535"
"Population","2016","Both sexes","64 years","Dublin City","Number","4484"
"Population","2016","Both sexes","64 years","Donegal","Number","1710"
"Population","2016","Both sexes","64 years","Dún Laoghaire-Rathdown","Number","2062"
"Population","2016","Both sexes","64 years","Fingal","Number","2294"
"Population","2016","Both sexes","64 years","Galway City","Number","604"
"Population","2016","Both sexes","64 years","Galway County","Number","1845"
"Population","2016","Both sexes","64 years","Kildare","Number","1764"
"Population","2016","Both sexes","64 years","Kilkenny","Number","983"
"Population","2016","Both sexes","64 years","Kerry","Number","1763"
"Population","2016","Both sexes","64 years","Longford","Number","434"
"Population","2016","Both sexes","64 years","Louth","Number","1135"
"Population","2016","Both sexes","64 years","Limerick City and County","Number","2025"
"Population","2016","Both sexes","64 years","Leitrim","Number","359"
"Population","2016","Both sexes","64 years","Laois","Number","754"
"Population","2016","Both sexes","64 years","Meath","Number","1561"
"Population","2016","Both sexes","64 years","Monaghan","Number","626"
"Population","2016","Both sexes","64 years","Mayo","Number","1517"
"Population","2016","Both sexes","64 years","Offaly","Number","758"
"Population","2016","Both sexes","64 years","Roscommon","Number","779"
"Population","2016","Both sexes","64 years","South Dublin","Number","2677"
"Population","2016","Both sexes","64 years","Sligo","Number","708"
"Population","2016","Both sexes","64 years","Tipperary","Number","1703"
"Population","2016","Both sexes","64 years","Waterford City and County","Number","1227"
"Population","2016","Both sexes","64 years","Westmeath","Number","781"
"Population","2016","Both sexes","64 years","Wicklow","Number","1357"
"Population","2016","Both sexes","64 years","Wexford","Number","1530"
"Population","2016","Both sexes","65 years","State","Number","44156"
"Population","2016","Both sexes","65 years","Cork City and Cork County","Number","5126"
"Population","2016","Both sexes","65 years","Clare","Number","1318"
"Population","2016","Both sexes","65 years","Cavan","Number","732"
"Population","2016","Both sexes","65 years","Carlow","Number","502"
"Population","2016","Both sexes","65 years","Dublin City","Number","4304"
"Population","2016","Both sexes","65 years","Donegal","Number","1698"
"Population","2016","Both sexes","65 years","Dún Laoghaire-Rathdown","Number","2026"
"Population","2016","Both sexes","65 years","Fingal","Number","2081"
"Population","2016","Both sexes","65 years","Galway City","Number","584"
"Population","2016","Both sexes","65 years","Galway County","Number","1792"
"Population","2016","Both sexes","65 years","Kildare","Number","1714"
"Population","2016","Both sexes","65 years","Kilkenny","Number","921"
"Population","2016","Both sexes","65 years","Kerry","Number","1784"
"Population","2016","Both sexes","65 years","Longford","Number","410"
"Population","2016","Both sexes","65 years","Louth","Number","1087"
"Population","2016","Both sexes","65 years","Limerick City and County","Number","1955"
"Population","2016","Both sexes","65 years","Leitrim","Number","359"
"Population","2016","Both sexes","65 years","Laois","Number","681"
"Population","2016","Both sexes","65 years","Meath","Number","1617"
"Population","2016","Both sexes","65 years","Monaghan","Number","597"
"Population","2016","Both sexes","65 years","Mayo","Number","1637"
"Population","2016","Both sexes","65 years","Offaly","Number","732"
"Population","2016","Both sexes","65 years","Roscommon","Number","721"
"Population","2016","Both sexes","65 years","South Dublin","Number","2677"
"Population","2016","Both sexes","65 years","Sligo","Number","768"
"Population","2016","Both sexes","65 years","Tipperary","Number","1609"
"Population","2016","Both sexes","65 years","Waterford City and County","Number","1113"
"Population","2016","Both sexes","65 years","Westmeath","Number","795"
"Population","2016","Both sexes","65 years","Wicklow","Number","1312"
"Population","2016","Both sexes","65 years","Wexford","Number","1504"
"Population","2016","Both sexes","66 years","State","Number","43546"
"Population","2016","Both sexes","66 years","Cork City and Cork County","Number","4841"
"Population","2016","Both sexes","66 years","Clare","Number","1261"
"Population","2016","Both sexes","66 years","Cavan","Number","717"
"Population","2016","Both sexes","66 years","Carlow","Number","551"
"Population","2016","Both sexes","66 years","Dublin City","Number","4321"
"Population","2016","Both sexes","66 years","Donegal","Number","1631"
"Population","2016","Both sexes","66 years","Dún Laoghaire-Rathdown","Number","1935"
"Population","2016","Both sexes","66 years","Fingal","Number","2125"
"Population","2016","Both sexes","66 years","Galway City","Number","617"
"Population","2016","Both sexes","66 years","Galway County","Number","1769"
"Population","2016","Both sexes","66 years","Kildare","Number","1744"
"Population","2016","Both sexes","66 years","Kilkenny","Number","1014"
"Population","2016","Both sexes","66 years","Kerry","Number","1708"
"Population","2016","Both sexes","66 years","Longford","Number","419"
"Population","2016","Both sexes","66 years","Louth","Number","1103"
"Population","2016","Both sexes","66 years","Limerick City and County","Number","1946"
"Population","2016","Both sexes","66 years","Leitrim","Number","388"
"Population","2016","Both sexes","66 years","Laois","Number","678"
"Population","2016","Both sexes","66 years","Meath","Number","1475"
"Population","2016","Both sexes","66 years","Monaghan","Number","606"
"Population","2016","Both sexes","66 years","Mayo","Number","1560"
"Population","2016","Both sexes","66 years","Offaly","Number","755"
"Population","2016","Both sexes","66 years","Roscommon","Number","696"
"Population","2016","Both sexes","66 years","South Dublin","Number","2585"
"Population","2016","Both sexes","66 years","Sligo","Number","764"
"Population","2016","Both sexes","66 years","Tipperary","Number","1604"
"Population","2016","Both sexes","66 years","Waterford City and County","Number","1145"
"Population","2016","Both sexes","66 years","Westmeath","Number","787"
"Population","2016","Both sexes","66 years","Wicklow","Number","1311"
"Population","2016","Both sexes","66 years","Wexford","Number","1490"
"Population","2016","Both sexes","67 years","State","Number","42442"
"Population","2016","Both sexes","67 years","Cork City and Cork County","Number","4876"
"Population","2016","Both sexes","67 years","Clare","Number","1237"
"Population","2016","Both sexes","67 years","Cavan","Number","694"
"Population","2016","Both sexes","67 years","Carlow","Number","466"
"Population","2016","Both sexes","67 years","Dublin City","Number","4238"
"Population","2016","Both sexes","67 years","Donegal","Number","1671"
"Population","2016","Both sexes","67 years","Dún Laoghaire-Rathdown","Number","1877"
"Population","2016","Both sexes","67 years","Fingal","Number","2054"
"Population","2016","Both sexes","67 years","Galway City","Number","607"
"Population","2016","Both sexes","67 years","Galway County","Number","1722"
"Population","2016","Both sexes","67 years","Kildare","Number","1720"
"Population","2016","Both sexes","67 years","Kilkenny","Number","893"
"Population","2016","Both sexes","67 years","Kerry","Number","1726"
"Population","2016","Both sexes","67 years","Longford","Number","390"
"Population","2016","Both sexes","67 years","Louth","Number","1065"
"Population","2016","Both sexes","67 years","Limerick City and County","Number","1845"
"Population","2016","Both sexes","67 years","Leitrim","Number","351"
"Population","2016","Both sexes","67 years","Laois","Number","631"
"Population","2016","Both sexes","67 years","Meath","Number","1528"
"Population","2016","Both sexes","67 years","Monaghan","Number","574"
"Population","2016","Both sexes","67 years","Mayo","Number","1526"
"Population","2016","Both sexes","67 years","Offaly","Number","705"
"Population","2016","Both sexes","67 years","Roscommon","Number","657"
"Population","2016","Both sexes","67 years","South Dublin","Number","2365"
"Population","2016","Both sexes","67 years","Sligo","Number","699"
"Population","2016","Both sexes","67 years","Tipperary","Number","1602"
"Population","2016","Both sexes","67 years","Waterford City and County","Number","1152"
"Population","2016","Both sexes","67 years","Westmeath","Number","781"
"Population","2016","Both sexes","67 years","Wicklow","Number","1352"
"Population","2016","Both sexes","67 years","Wexford","Number","1438"
"Population","2016","Both sexes","68 years","State","Number","41389"
"Population","2016","Both sexes","68 years","Cork City and Cork County","Number","4697"
"Population","2016","Both sexes","68 years","Clare","Number","1168"
"Population","2016","Both sexes","68 years","Cavan","Number","667"
"Population","2016","Both sexes","68 years","Carlow","Number","503"
"Population","2016","Both sexes","68 years","Dublin City","Number","4154"
"Population","2016","Both sexes","68 years","Donegal","Number","1600"
"Population","2016","Both sexes","68 years","Dún Laoghaire-Rathdown","Number","1973"
"Population","2016","Both sexes","68 years","Fingal","Number","1984"
"Population","2016","Both sexes","68 years","Galway City","Number","566"
"Population","2016","Both sexes","68 years","Galway County","Number","1631"
"Population","2016","Both sexes","68 years","Kildare","Number","1574"
"Population","2016","Both sexes","68 years","Kilkenny","Number","944"
"Population","2016","Both sexes","68 years","Kerry","Number","1705"
"Population","2016","Both sexes","68 years","Longford","Number","397"
"Population","2016","Both sexes","68 years","Louth","Number","1096"
"Population","2016","Both sexes","68 years","Limerick City and County","Number","1857"
"Population","2016","Both sexes","68 years","Leitrim","Number","340"
"Population","2016","Both sexes","68 years","Laois","Number","619"
"Population","2016","Both sexes","68 years","Meath","Number","1443"
"Population","2016","Both sexes","68 years","Monaghan","Number","562"
"Population","2016","Both sexes","68 years","Mayo","Number","1447"
"Population","2016","Both sexes","68 years","Offaly","Number","711"
"Population","2016","Both sexes","68 years","Roscommon","Number","689"
