"Statistic Label","CensusYear","Sex","Single Year of Age","County and City","UNIT","VALUE"
"Population","2011","Both sexes","5 years","Louth","Number","1937"
"Population","2011","Both sexes","5 years","Limerick City and County","Number","2596"
"Population","2011","Both sexes","5 years","Leitrim","Number","470"
"Population","2011","Both sexes","5 years","Laois","Number","1273"
"Population","2011","Both sexes","5 years","Meath","Number","3192"
"Population","2011","Both sexes","5 years","Monaghan","Number","921"
"Population","2011","Both sexes","5 years","Mayo","Number","1832"
"Population","2011","Both sexes","5 years","Offaly","Number","1169"
"Population","2011","Both sexes","5 years","Roscommon","Number","944"
"Population","2011","Both sexes","5 years","South Dublin","Number","4070"
"Population","2011","Both sexes","5 years","Sligo","Number","841"
"Population","2011","Both sexes","5 years","Tipperary","Number","2271"
"Population","2011","Both sexes","5 years","Waterford City and County","Number","1652"
"Population","2011","Both sexes","5 years","Westmeath","Number","1309"
"Population","2011","Both sexes","5 years","Wicklow","Number","2060"
"Population","2011","Both sexes","5 years","Wexford","Number","2198"
"Population","2011","Both sexes","6 years","State","Number","64976"
"Population","2011","Both sexes","6 years","Cork City and Cork County","Number","7207"
"Population","2011","Both sexes","6 years","Clare","Number","1778"
"Population","2011","Both sexes","6 years","Cavan","Number","1132"
"Population","2011","Both sexes","6 years","Carlow","Number","849"
"Population","2011","Both sexes","6 years","Dublin City","Number","5018"
"Population","2011","Both sexes","6 years","Donegal","Number","2435"
"Population","2011","Both sexes","6 years","Dún Laoghaire-Rathdown","Number","2396"
"Population","2011","Both sexes","6 years","Fingal","Number","4468"
"Population","2011","Both sexes","6 years","Galway City","Number","786"
"Population","2011","Both sexes","6 years","Galway County","Number","2749"
"Population","2011","Both sexes","6 years","Kildare","Number","3511"
"Population","2011","Both sexes","6 years","Kilkenny","Number","1345"
"Population","2011","Both sexes","6 years","Kerry","Number","1945"
"Population","2011","Both sexes","6 years","Longford","Number","596"
"Population","2011","Both sexes","6 years","Louth","Number","1902"
"Population","2011","Both sexes","6 years","Limerick City and County","Number","2489"
"Population","2011","Both sexes","6 years","Leitrim","Number","459"
"Population","2011","Both sexes","6 years","Laois","Number","1372"
"Population","2011","Both sexes","6 years","Meath","Number","3171"
"Population","2011","Both sexes","6 years","Monaghan","Number","896"
"Population","2011","Both sexes","6 years","Mayo","Number","1837"
"Population","2011","Both sexes","6 years","Offaly","Number","1166"
"Population","2011","Both sexes","6 years","Roscommon","Number","888"
"Population","2011","Both sexes","6 years","South Dublin","Number","4093"
"Population","2011","Both sexes","6 years","Sligo","Number","852"
"Population","2011","Both sexes","6 years","Tipperary","Number","2377"
"Population","2011","Both sexes","6 years","Waterford City and County","Number","1621"
"Population","2011","Both sexes","6 years","Westmeath","Number","1284"
"Population","2011","Both sexes","6 years","Wicklow","Number","2161"
"Population","2011","Both sexes","6 years","Wexford","Number","2193"
"Population","2011","Both sexes","7 years","State","Number","64441"
"Population","2011","Both sexes","7 years","Cork City and Cork County","Number","7042"
"Population","2011","Both sexes","7 years","Clare","Number","1700"
"Population","2011","Both sexes","7 years","Cavan","Number","1145"
"Population","2011","Both sexes","7 years","Carlow","Number","843"
"Population","2011","Both sexes","7 years","Dublin City","Number","4890"
"Population","2011","Both sexes","7 years","Donegal","Number","2518"
"Population","2011","Both sexes","7 years","Dún Laoghaire-Rathdown","Number","2479"
"Population","2011","Both sexes","7 years","Fingal","Number","4481"
"Population","2011","Both sexes","7 years","Galway City","Number","816"
"Population","2011","Both sexes","7 years","Galway County","Number","2666"
"Population","2011","Both sexes","7 years","Kildare","Number","3550"
"Population","2011","Both sexes","7 years","Kilkenny","Number","1423"
"Population","2011","Both sexes","7 years","Kerry","Number","1911"
"Population","2011","Both sexes","7 years","Longford","Number","592"
"Population","2011","Both sexes","7 years","Louth","Number","1870"
"Population","2011","Both sexes","7 years","Limerick City and County","Number","2490"
"Population","2011","Both sexes","7 years","Leitrim","Number","487"
"Population","2011","Both sexes","7 years","Laois","Number","1386"
"Population","2011","Both sexes","7 years","Meath","Number","3099"
"Population","2011","Both sexes","7 years","Monaghan","Number","852"
"Population","2011","Both sexes","7 years","Mayo","Number","1849"
"Population","2011","Both sexes","7 years","Offaly","Number","1201"
"Population","2011","Both sexes","7 years","Roscommon","Number","907"
"Population","2011","Both sexes","7 years","South Dublin","Number","3991"
"Population","2011","Both sexes","7 years","Sligo","Number","873"
"Population","2011","Both sexes","7 years","Tipperary","Number","2222"
"Population","2011","Both sexes","7 years","Waterford City and County","Number","1608"
"Population","2011","Both sexes","7 years","Westmeath","Number","1286"
"Population","2011","Both sexes","7 years","Wicklow","Number","2003"
"Population","2011","Both sexes","7 years","Wexford","Number","2261"
"Population","2011","Both sexes","8 years","State","Number","63816"
"Population","2011","Both sexes","8 years","Cork City and Cork County","Number","7107"
"Population","2011","Both sexes","8 years","Clare","Number","1716"
"Population","2011","Both sexes","8 years","Cavan","Number","1106"
"Population","2011","Both sexes","8 years","Carlow","Number","826"
"Population","2011","Both sexes","8 years","Dublin City","Number","4956"
"Population","2011","Both sexes","8 years","Donegal","Number","2376"
"Population","2011","Both sexes","8 years","Dún Laoghaire-Rathdown","Number","2385"
"Population","2011","Both sexes","8 years","Fingal","Number","4528"
"Population","2011","Both sexes","8 years","Galway City","Number","857"
"Population","2011","Both sexes","8 years","Galway County","Number","2574"
"Population","2011","Both sexes","8 years","Kildare","Number","3504"
"Population","2011","Both sexes","8 years","Kilkenny","Number","1391"
"Population","2011","Both sexes","8 years","Kerry","Number","1918"
"Population","2011","Both sexes","8 years","Longford","Number","637"
"Population","2011","Both sexes","8 years","Louth","Number","1867"
"Population","2011","Both sexes","8 years","Limerick City and County","Number","2535"
"Population","2011","Both sexes","8 years","Leitrim","Number","422"
"Population","2011","Both sexes","8 years","Laois","Number","1325"
"Population","2011","Both sexes","8 years","Meath","Number","3005"
"Population","2011","Both sexes","8 years","Monaghan","Number","845"
"Population","2011","Both sexes","8 years","Mayo","Number","1795"
"Population","2011","Both sexes","8 years","Offaly","Number","1198"
"Population","2011","Both sexes","8 years","Roscommon","Number","885"
"Population","2011","Both sexes","8 years","South Dublin","Number","4041"
"Population","2011","Both sexes","8 years","Sligo","Number","822"
"Population","2011","Both sexes","8 years","Tipperary","Number","2131"
"Population","2011","Both sexes","8 years","Waterford City and County","Number","1633"
"Population","2011","Both sexes","8 years","Westmeath","Number","1212"
"Population","2011","Both sexes","8 years","Wicklow","Number","2025"
"Population","2011","Both sexes","8 years","Wexford","Number","2194"
"Population","2011","Both sexes","9 years","State","Number","62600"
"Population","2011","Both sexes","9 years","Cork City and Cork County","Number","6884"
"Population","2011","Both sexes","9 years","Clare","Number","1726"
"Population","2011","Both sexes","9 years","Cavan","Number","1060"
"Population","2011","Both sexes","9 years","Carlow","Number","772"
"Population","2011","Both sexes","9 years","Dublin City","Number","4906"
"Population","2011","Both sexes","9 years","Donegal","Number","2419"
"Population","2011","Both sexes","9 years","Dún Laoghaire-Rathdown","Number","2345"
"Population","2011","Both sexes","9 years","Fingal","Number","4094"
"Population","2011","Both sexes","9 years","Galway City","Number","792"
"Population","2011","Both sexes","9 years","Galway County","Number","2555"
"Population","2011","Both sexes","9 years","Kildare","Number","3328"
"Population","2011","Both sexes","9 years","Kilkenny","Number","1383"
"Population","2011","Both sexes","9 years","Kerry","Number","1961"
"Population","2011","Both sexes","9 years","Longford","Number","624"
"Population","2011","Both sexes","9 years","Louth","Number","1931"
"Population","2011","Both sexes","9 years","Limerick City and County","Number","2416"
"Population","2011","Both sexes","9 years","Leitrim","Number","456"
"Population","2011","Both sexes","9 years","Laois","Number","1252"
"Population","2011","Both sexes","9 years","Meath","Number","3028"
"Population","2011","Both sexes","9 years","Monaghan","Number","817"
"Population","2011","Both sexes","9 years","Mayo","Number","1790"
"Population","2011","Both sexes","9 years","Offaly","Number","1196"
"Population","2011","Both sexes","9 years","Roscommon","Number","909"
"Population","2011","Both sexes","9 years","South Dublin","Number","3910"
"Population","2011","Both sexes","9 years","Sligo","Number","808"
"Population","2011","Both sexes","9 years","Tipperary","Number","2211"
"Population","2011","Both sexes","9 years","Waterford City and County","Number","1620"
"Population","2011","Both sexes","9 years","Westmeath","Number","1298"
"Population","2011","Both sexes","9 years","Wicklow","Number","1930"
"Population","2011","Both sexes","9 years","Wexford","Number","2179"
"Population","2011","Both sexes","10 years","State","Number","61429"
"Population","2011","Both sexes","10 years","Cork City and Cork County","Number","6830"
"Population","2011","Both sexes","10 years","Clare","Number","1674"
"Population","2011","Both sexes","10 years","Cavan","Number","1114"
"Population","2011","Both sexes","10 years","Carlow","Number","763"
"Population","2011","Both sexes","10 years","Dublin City","Number","4923"
"Population","2011","Both sexes","10 years","Donegal","Number","2349"
"Population","2011","Both sexes","10 years","Dún Laoghaire-Rathdown","Number","2343"
"Population","2011","Both sexes","10 years","Fingal","Number","3877"
"Population","2011","Both sexes","10 years","Galway City","Number","774"
"Population","2011","Both sexes","10 years","Galway County","Number","2480"
"Population","2011","Both sexes","10 years","Kildare","Number","3282"
"Population","2011","Both sexes","10 years","Kilkenny","Number","1406"
"Population","2011","Both sexes","10 years","Kerry","Number","1815"
"Population","2011","Both sexes","10 years","Longford","Number","589"
"Population","2011","Both sexes","10 years","Louth","Number","1850"
"Population","2011","Both sexes","10 years","Limerick City and County","Number","2373"
"Population","2011","Both sexes","10 years","Leitrim","Number","402"
"Population","2011","Both sexes","10 years","Laois","Number","1261"
"Population","2011","Both sexes","10 years","Meath","Number","2847"
"Population","2011","Both sexes","10 years","Monaghan","Number","831"
"Population","2011","Both sexes","10 years","Mayo","Number","1796"
"Population","2011","Both sexes","10 years","Offaly","Number","1125"
"Population","2011","Both sexes","10 years","Roscommon","Number","907"
"Population","2011","Both sexes","10 years","South Dublin","Number","3833"
"Population","2011","Both sexes","10 years","Sligo","Number","863"
"Population","2011","Both sexes","10 years","Tipperary","Number","2323"
"Population","2011","Both sexes","10 years","Waterford City and County","Number","1551"
"Population","2011","Both sexes","10 years","Westmeath","Number","1249"
"Population","2011","Both sexes","10 years","Wicklow","Number","1943"
"Population","2011","Both sexes","10 years","Wexford","Number","2056"
